degree,R,G,B
0,255,255,255
10,120,101,60
20,131,98,57
30,194,155,86
40,191,163,114
50,224,196,119
60,242,205,119
70,244,217,163
80,252,246,176
90,255,255,255
100,82,45,20
110,115,76,49
120,158,114,92
130,178,125,95
140,175,129,94
150,187,122,89
160,222,164,130
170,210,154,140
180,255,255,255
190,66,47,35
200,112,66,26
210,123,91,67
220,150,104,46
230,188,144,81
240,182,152,119
250,223,203,157
260,248,209,154
270,255,255,255
280,94,71,55
290,111,84,109
300,154,118,101
310,153,122,130
320,170,139,190
330,198,169,166
340,223,195,222
350,249,217,200
360,255,255,255
