Color Rating (e.g. 180º),R,G,B
30,194,155,86
60,242,205,119
230,188,144,81
60,242,205,119
50,224,196,119
30,194,155,86
50,224,196,119
230,188,144,81
50,224,196,119
60,242,205,119
150,187,122,89
170,210,154,140
120,158,114,92
170,210,154,140
120,158,114,92
150,187,122,89
150,187,122,89
150,187,122,89
110,115,76,49
120,158,114,92
60,242,205,119
30,194,155,86
30,194,155,86
60,242,205,119
30,194,155,86
320,170,139,190
320,170,139,190
340,223,195,222
320,170,139,190
320,170,139,190
80,252,246,176
80,252,246,176
50,224,196,119
80,252,246,176
50,224,196,119
30,194,155,86
30,194,155,86
30,194,155,86
30,194,155,86
30,194,155,86
250,223,203,157
70,244,217,163
70,244,217,163
70,244,217,163
80,252,246,176
20,131,98,57
130,178,125,95
20,131,98,57
230,188,144,81
230,188,144,81
340,223,195,222
350,249,217,200
310,153,122,130
330,198,169,166
340,223,195,222
130,178,125,95
300,154,118,101
150,187,122,89
20,131,98,57
300,154,118,101
